grid side,n quadrants,n pairs per quadrant,n agents,mean resource capacity,max cluster size,offset,k,seed,time global,model times global,resolution times global,status global,LB global,UB global,n clusters,n agents per cluster,similarity index,cluster similarity indexes,min cluster similarity index,max mean intercluster similarity,silhouette score,cluster congestion indexes,cluster congestion indexes absolute,cluster congestion ratio max,global congestion absolute,global congestion ratio max,cross congestion absolute,cross congestion rate,cross congestion share,model times clusters,resolution times clusters,unassigned agents,final unassigned agents,model times repair,resolution times repair,final tolerance,LB heuristic,UB heuristic,time heuristic,gap,speedup
40,2,100,1000,5,500,-2,10,0,1.9896701809484512,[0.3615921139717102],[1.628078066976741],OPTIMAL,92.0,92.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.008118896863494096,"[0.260907196969697, 0.2067921318447634]","[130.4535984848485, 103.3960659223817]","[1.8, 1.75]",233.8496644072302,1.8,0.0,0.0,0.0,"[0.08521819091401994, 0.18819753685966134]","[1.540533946128562, 0.7212571278214455]",,,,,,92.0,92.0,3.039259010925889,0.0,0.6546563401788885
40,2,100,1000,5,500,-2,10,1,0.9778487179428339,[0.2961923689581454],[0.6816563489846885],OPTIMAL,113.0,113.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.008309920378647837,"[0.16945410935813415, 0.09480923536462643]","[84.72705467906708, 47.404617682313216]","[2.171212121212121, 1.7103864734299516]",132.13167236138028,2.171212121212121,0.0,0.0,0.0,"[0.09020291594788432, 0.19464868982322514]","[0.17204260919243097, 0.46282553602941334]",,,,,,113.0,113.0,1.2641762809362262,0.0,0.7735066166710997
40,2,100,1000,5,500,-2,10,2,0.8099753281567246,[0.2733002011664212],[0.5366751269903034],OPTIMAL,116.0,116.0,2,"[500, 500]",0.9999999999999999,"[1.0, 1.0]",1.0,0.0,0.00836837425024246,"[0.11041910804623654, 0.24217128010878017]","[55.20955402311827, 121.08564005439008]","[1.7727272727272727, 1.8333333333333333]",176.29519407750837,1.8333333333333333,0.0,0.0,0.0,"[0.1806190360803157, 0.09331219387240708]","[0.2566322609782219, 0.5695317019708455]",,,,,,116.0,116.0,1.5366959946695715,0.0,0.5270888522950109
40,2,100,1000,5,500,-2,10,3,0.5362491498235613,[0.30389192793518305],[0.23235722188837826],OPTIMAL,62.0,62.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.009820140666092077,"[0.055744039741162495, 0.0852330426926015]","[27.872019870581248, 42.61652134630075]","[1.5088235294117647, 1.483116883116883]",70.48854121688198,1.5088235294117647,0.0,0.0,0.0,"[0.09314226405695081, 0.20113632990978658]","[0.11657989793457091, 0.10576325887814164]",,,,,,62.0,62.0,0.8683632656466216,0.0,0.6175401137267668
40,2,100,1000,5,500,-2,10,4,1.193189090816304,[0.2826060119550675],[0.9105830788612366],OPTIMAL,99.0,99.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.005580084751693323,"[0.15335455665746592, 0.18638276592688363]","[76.67727832873295, 93.19138296344181]","[1.75, 2.75]",169.8686612921747,2.75,0.0,0.0,0.0,"[0.08948197099380195, 0.18650922109372914]","[0.17264558793976903, 0.45061408285982907]",,,,,,99.0,99.0,1.2465182908345014,0.0,0.9572174749377362
40,2,100,1000,5,500,-2,10,5,1.7260194888804108,[0.2891078698448837],[1.436911619035527],OPTIMAL,75.0,75.0,2,"[500, 500]",1.0,"[1.0, 1.0]",1.0,0.0,0.010986382970279459,"[0.14032271018455228, 0.16754890092501987]","[70.16135509227614, 83.77445046250993]","[1.78125, 1.8]",153.93580555478596,1.8,0.0,0.0,0.0,"[0.3055397500284016, 0.11523412493988872]","[0.2433182238601148, 1.3782173169311136]",,,,,,75.0,75.0,2.56630583293736,0.0,0.672569678456769
40,2,100,1000,5,500,-2,10,6,0.8871096130460501,[0.27531541301868856],[0.6117942000273615],OPTIMAL,101.0,101.0,2,"[500, 500]",0.9999999999999998,"[1.0, 1.0]",1.0,0.0,0.00317819103985517,"[0.1898036616161616, 0.202170098224303]","[94.9018308080808, 101.08504911215151]","[1.95, 2.1136363636363633]",195.98687992023233,2.1136363636363633,2.842170943040401e-14,2.842170943040401e-17,1.4501842899803687e-16,"[0.19508711714297533, 0.08881129091605544]","[0.3814297141507268, 0.35386560880579054]",,,,,,101.0,101.0,1.3687829333357513,0.0,0.6481010183872955
40,2,100,1000,5,500,-2,10,7,0.9418152591679245,[0.35437956009991467],[0.5874356990680099],OPTIMAL,79.0,79.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.011611058809333137,"[0.09355726690189609, 0.13122844296768282]","[46.77863345094804, 65.6142214838414]","[1.559090909090909, 1.7249554367201427]",112.39285493478944,1.7249554367201427,0.0,0.0,0.0,"[0.08680433803237975, 0.19102103915065527]","[0.25434443284757435, 0.35882672900334]",,,,,,79.0,79.0,1.2332056362647563,0.0,0.7637130673685363
40,2,100,1000,5,500,-2,10,8,0.8491139931138605,[0.36142187798395753],[0.48769211512990296],OPTIMAL,117.0,117.0,2,"[500, 500]",1.0000000000000002,"[1.0, 1.0]",1.0,0.0,0.006355509866348779,"[0.27067642284186405, 0.14477350427350427]","[135.33821142093203, 72.38675213675214]","[2.203409090909091, 2.1]",207.72496355768416,2.203409090909091,0.0,0.0,0.0,"[0.08940607099793851, 0.1931887990795076]","[0.4623386838939041, 0.12662954814732075]",,,,,,117.0,117.0,1.237925082212314,0.0,0.6859171086479615
40,2,100,1000,5,500,-2,10,9,0.9877696020994335,[0.2752668249886483],[0.7125027771107852],OPTIMAL,106.0,106.0,2,"[500, 500]",0.9999999999999998,"[1.0, 1.0]",1.0,0.0,0.004815961531431208,"[0.18613854323780796, 0.10432429558745349]","[93.06927161890398, 52.162147793726746]","[2.0, 1.75]",145.23141941263071,2.0,0.0,0.0,0.0,"[0.18992779310792685, 0.08941770810633898]","[0.3181798190344125, 0.5329644489102066]",,,,,,106.0,106.0,1.4902839011047035,0.0,0.6628063292955315
