n,seed,time
50,0,0.01740637607872486
50,1,0.011902250349521637
50,2,0.012075154110789299
50,3,0.010788600891828537
50,4,0.013192417100071907
50,5,0.015496762469410896
50,6,0.01613081619143486
50,7,0.010880449786782265
50,8,0.020566299557685852
50,9,0.016750376671552658
75,10,0.048695508390665054
75,11,0.02849714644253254
75,12,0.022939253598451614
75,13,0.01606045663356781
75,14,0.022341659292578697
75,15,0.021263012662529945
75,16,0.03692176192998886
75,17,0.034083083271980286
75,18,0.022004032507538795
75,19,0.01711087115108967
100,20,0.019393855705857277
100,21,0.15806167386472225
100,22,0.044766489416360855
100,23,0.031050710007548332
100,24,0.05865970812737942
100,25,0.0304647758603096
100,26,0.03364017233252525
100,27,0.05347010865807533
100,28,0.036740969866514206
100,29,0.04497130587697029
125,30,0.06272043846547604
125,31,0.04658323526382446
125,32,0.06657719612121582
125,33,0.0655881930142641
125,34,0.06024465337395668
125,35,0.043551139533519745
125,36,0.08035671152174473
125,37,0.08935857005417347
125,38,0.05762840621173382
125,39,0.07242449186742306
150,40,0.04100456461310387
150,41,0.06713595800101757
150,42,0.05407329276204109
150,43,0.032248953357338905
150,44,0.052014898508787155
150,45,0.041303494945168495
150,46,0.046452540904283524
150,47,0.08628089353442192
150,48,0.04031623713672161
150,49,0.05048944428563118
175,50,0.08781081438064575
175,51,0.09561983682215214
175,52,0.08030914701521397
175,53,0.0915630180388689
175,54,0.12840033136308193
175,55,0.10968925803899765
175,56,0.08920687064528465
175,57,0.07480873726308346
175,58,0.056688401848077774
175,59,0.19276645965874195
200,60,0.13870168291032314
200,61,0.17264081351459026
200,62,0.13399441353976727
200,63,0.1144435964524746
200,64,0.11404550075531006
200,65,0.08513209410011768
200,66,0.2805082593113184
200,67,0.12375416792929173
200,68,0.19485890120267868
200,69,0.2742733918130398
225,70,0.1991004478186369
225,71,0.11894848942756653
225,72,0.15941629000008106
225,73,0.18067817389965057
225,74,0.24064661376178265
225,75,0.2295803241431713
225,76,0.20936239138245583
225,77,0.1952392030507326
225,78,0.21394790895283222
225,79,0.13268273696303368
250,80,0.21905498765408993
250,81,0.29396434873342514
250,82,0.14320523664355278
250,83,0.21412265859544277
250,84,0.17636690475046635
250,85,0.19551894068717957
250,86,0.22710529901087284
250,87,0.202968867495656
250,88,0.3219325225800276
250,89,0.34020412154495716
275,90,0.16564182192087173
275,91,0.22341832146048546
275,92,0.16647553071379662
275,93,0.19943547062575817
275,94,0.2911631092429161
275,95,0.32772872410714626
275,96,0.18064292520284653
275,97,0.22057482600212097
275,98,0.1806293297559023
275,99,0.3101130034774542
300,100,0.17373889684677124
300,101,0.1337077859789133
300,102,0.18439252860844135
300,103,0.1937490962445736
300,104,0.20544608682394028
300,105,0.21384225971996784
300,106,0.25171315111219883
300,107,0.2183949165046215
300,108,0.21385767124593258
300,109,0.1699158176779747
325,110,0.2630456816405058
325,111,0.2251091469079256
325,112,0.22166239097714424
325,113,0.16328336670994759
325,114,0.33483208529651165
325,115,1.7483486738055944
325,116,0.22309225797653198
325,117,0.17410801351070404
325,118,0.2791475374251604
325,119,0.3138858303427696
350,120,0.335630776360631
350,121,0.3260432630777359
350,122,0.40610414929687977
350,123,0.33477613888680935
350,124,0.5472381487488747
350,125,0.4738239198923111
350,126,0.3053559083491564
350,127,0.43003400415182114
350,128,0.17630752362310886
350,129,0.28675671853125095
375,130,0.21843166090548038
375,131,2.195024585351348
375,132,0.2720577269792557
375,133,0.3837777078151703
375,134,0.42517530731856823
375,135,0.44868166372179985
375,136,0.6664141081273556
375,137,0.5862778276205063
375,138,0.34987543150782585
375,139,0.21501882933080196
400,140,0.25698029808700085
400,141,0.4232585169374943
400,142,0.6867272611707449
400,143,0.40721591748297215
400,144,0.7083853669464588
400,145,0.4210272189229727
400,146,0.6644318867474794
400,147,0.5178930889815092
400,148,0.30564806051552296
400,149,1.2215842101722956
425,150,0.4630966279655695
425,151,1.411465860903263
425,152,0.6005539204925299
425,153,1.326063271611929
425,154,0.6189845204353333
425,155,0.7093190886080265
425,156,0.619846872985363
425,157,0.9068577010184526
425,158,0.4773126747459173
425,159,0.3623489700257778
450,160,0.3766916152089834
450,161,0.8175100348889828
450,162,0.30715456791222095
450,163,0.7080425377935171
450,164,0.29320275224745274
450,165,1.7065910175442696
450,166,0.46589499339461327
450,167,0.4620584696531296
450,168,0.4797983095049858
450,169,1.1590814478695393
475,170,0.6000135783106089
475,171,0.48680518940091133
475,172,2.073266800493002
475,173,0.5974836144596338
475,174,0.7139007765799761
475,175,0.3177430909126997
475,176,0.5284800790250301
475,177,0.7862928137183189
475,178,0.43475996889173985
475,179,0.5129661411046982
500,180,0.9780200552195311
500,181,0.7585524599999189
500,182,0.7307755406945944
500,183,0.8096215762197971
500,184,0.6380416825413704
500,185,0.35032245703041553
500,186,0.8571255914866924
500,187,0.756605502218008
500,188,0.7058107778429985
500,189,1.3595289997756481
525,190,0.7421940248459578
525,191,0.7615583948791027
525,192,0.8326927740126848
525,193,0.7566437683999538
525,194,0.7626471556723118
525,195,1.0893544536083937
525,196,0.8795515689998865
525,197,1.1816386822611094
525,198,0.718093803152442
525,199,0.8755684196949005
550,200,4.203531155362725
550,201,0.7673243340104818
550,202,138.50691751018167
550,203,0.8754945546388626
550,204,0.8910866249352694
550,205,4.221150234341621
550,206,1.033531915396452
550,207,1.0202470868825912
550,208,5.489226905629039
550,209,0.6946049612015486
575,210,12.647173136472702
575,211,11.964722579345107
575,212,1.1645859107375145
575,213,10.234004152938724
575,214,7.060733839869499
575,215,1.3072519339621067
575,216,2.0057102236896753
575,217,6.275158712640405
575,218,1.6433010771870613
575,219,1.7774569392204285
600,220,1.6001239530742168
600,221,0.4861603360623121
600,222,0.43073478154838085
600,223,0.6346140746027231
600,224,0.9395453780889511
600,225,1.3259104192256927
600,226,1.6218968965113163
600,227,1.4696286972612143
600,228,0.34901124611496925
600,229,1.5600112061947584
625,230,1800.054326986894
625,231,1.0340396165847778
625,232,6.600670771673322
625,233,0.8926124628633261
625,234,1800.0606720037758
625,235,1.3767695184797049
625,236,2.4521839935332537
625,237,0.9523681681603193
625,238,0.4535668194293976
625,239,0.39440289698541164
650,240,2.537999738007784
650,241,0.7238147482275963
650,242,3.237051324918866
650,243,0.9429245609790087
650,244,1.128254247829318
650,245,0.9824256636202335
650,246,1.0700959544628859
650,247,1.4020547717809677
650,248,5.593935860320926
650,249,1.110885290428996
675,250,1.3139061126857996
675,251,1800.0595891010016
675,252,102.61164401471615
675,253,1.6359843667596579
675,254,5.960032247006893
675,255,0.9646628983318806
675,256,1800.0628871601075
675,257,4.88497706875205
675,258,1.767926400527358
675,259,11.352449821308255
700,260,1.978939576074481
700,261,1.9955595396459103
700,262,535.3291943520308
700,263,11.337978722527623
700,264,564.1990200188011
700,265,2.3097492288798094
700,266,2.0712517220526934
700,267,1.2198279555886984
700,268,1.9339428674429655
700,269,1005.8864533100277
725,270,74.57561240717769
725,271,15.080328147858381
725,272,7.337086118757725
725,273,3.4445356465876102
725,274,13.438207959756255
725,275,1.9648412726819515
725,276,2.2407922353595495
725,277,26.74462066963315
725,278,13.028394345194101
725,279,87.97413904033601
750,280,1.271264597773552
750,281,2.2438855022192
750,282,2.5895241796970367
750,283,4.949702698737383
750,284,2.6133294608443975
750,285,13.861632581800222
750,286,17.094021137803793
750,287,3.647023355588317
750,288,7.830957667902112
750,289,1.0746194459497929
775,290,1800.07233896479
775,291,1800.0684198644012
775,292,1.536546541377902
775,293,1800.068565260619
775,294,1800.1450916808099
775,295,1.3245812114328146
775,296,8.529544342309237
775,297,0.959451163187623
775,298,0.9429965615272522
775,299,26.647100554779172
800,300,3.342809446156025
800,301,0.4460454173386097
800,302,1800.0634676776826
800,303,9.84731001034379
800,304,2.3314702678471804
800,305,3.3492009732872248
800,306,1800.0584637019783
800,307,1800.1379643250257
800,308,2.8326485473662615
800,309,1800.1092069260776
825,310,4.192359486594796
825,311,1800.06322170794
825,312,1800.0711044967175
825,313,1.7398127391934395
825,314,12.305911540985107
825,315,1800.0729023162276
825,316,1800.0759284719825
825,317,1800.154929900542
825,318,1800.077432319522
825,319,1.213480582460761
850,320,2.2615039367228746
850,321,2.6555682215839624
